epoch,lr,loss,iou,val_loss,val_iou,val_dice,epoch_sec,train_ctrl,train_foc,train_ma_mean,train_rho_std,train_ctrl_bce,train_cell_iou,val_ctrl,val_foc,val_ma_mean,val_rho_std,val_ctrl_bce,val_cell_iou,norm_route1_wc,norm_route1_wa,norm_route1_beta,norm_route2_wc,norm_route2_wa,norm_route2_beta,norm_route3_wc,norm_route3_wa,norm_route3_beta,norm_route4_wc,norm_route4_wa,norm_route4_beta
0,0.0001,1.5311810839921236,0.2815429856549432,1.5432618361253005,0.10606908966579601,0.18528780217783034,149.9081015586853,0.6710945433005691,0.5549544701352715,0.49477970972657204,0.0031719138219159504,0.6710945433005691,0.0,0.659490337738624,0.5295648703208337,0.49315210764224715,0.004080979998868245,0.659490337738624,0.0,0.07940157502889633,0.06415475904941559,0.03397639840841293,0.08810222148895264,0.08893901854753494,0.026918159797787666,0.12132593989372253,0.1876968890428543,0.01977819763123989,0.13429737091064453,0.17131060361862183,0.0187221672385931
1,0.0001,1.395464787259698,0.385506068713598,1.4118015472705547,0.34569319700187434,0.5073951737288596,40.695905923843384,0.6205437127500772,0.4696714938618243,0.47858478501439095,0.009339058444311377,0.6205437127500772,0.00015310259914258495,0.5978845632993258,0.48963316587301403,0.46738997422731837,0.010385603142472414,0.5978845632993258,0.0006614019449513693,0.14507649838924408,0.11462996155023575,0.06614046543836594,0.14051492512226105,0.1412336826324463,0.056393977254629135,0.17538660764694214,0.3284611403942108,0.03085753507912159,0.17744001746177673,0.2457946389913559,0.024966666474938393
2,0.0001,1.3284779973328114,0.4263624357694293,1.3275272351044876,0.45095377576932877,0.6157889873224103,54.38243317604065,0.5665952367708087,0.43277490278705955,0.4507110361009836,0.01407127024140209,0.5665952367708087,0.002330598936168826,0.5518636978589572,0.4294513564843398,0.4401540829585149,0.011953982567557921,0.5518636978589572,0.008728672657161951,0.2021743804216385,0.14865778386592865,0.09214327484369278,0.1822255402803421,0.1683172881603241,0.0776098221540451,0.21186736226081848,0.4236513078212738,0.04098914563655853,0.20772850513458252,0.3048440217971802,0.03287534788250923
3,0.0001,1.294836288318038,0.4219567397176805,1.3107084090893084,0.4121587861530359,0.5766988845688797,52.711562156677246,0.5148914139717817,0.41726831207051873,0.4177701720036566,0.018299449875485152,0.5148914139717817,0.012191813902973081,0.5018698087105384,0.44400270214447607,0.4071764927643996,0.016548035064568888,0.5018698087105384,0.03212699947090676,0.25349172949790955,0.17480675876140594,0.1136498674750328,0.21169205009937286,0.1991843581199646,0.09137123823165894,0.24024134874343872,0.5452361702919006,0.04835247993469238,0.22909854352474213,0.39737576246261597,0.04106829687952995
4,0.0001,1.2482005786150694,0.4660168635202623,1.3217744167034442,0.3900381201378858,0.5570078745865796,48.03187108039856,0.46709306072443724,0.39778047893196344,0.38471133494749665,0.022140040702652186,0.46709306072443724,0.030246174210333265,0.47880721413172206,0.47142919256136967,0.38964879512786865,0.01988893566796413,0.47880721413172206,0.07581411503398648,0.29787367582321167,0.19713176786899567,0.1313839703798294,0.23808833956718445,0.2232152819633484,0.10229156166315079,0.27123111486434937,0.6637372374534607,0.057466160506010056,0.2494485080242157,0.4617064595222473,0.0475555956363678
5,0.0001,1.2201952580362558,0.4744187961354127,1.3256801953682533,0.34281994426686113,0.5011437057127656,49.03905534744263,0.4267670148983598,0.3898309809155762,0.35247510951012373,0.026082510798005387,0.4267670148983598,0.06038339750011801,0.46576049327850344,0.47045517105322615,0.38118853844129125,0.023117813783196304,0.46576049327850344,0.12204139719788845,0.33814775943756104,0.2173120230436325,0.1468443125486374,0.26032504439353943,0.24918778240680695,0.11379765719175339,0.28399237990379333,0.735916018486023,0.06545458734035492,0.26471802592277527,0.5149451494216919,0.051395028829574585
6,0.0001,1.1915836594998837,0.5004041000694659,1.335847629033602,0.3356661791810461,0.4973282239410561,46.62185287475586,0.389839603099972,0.38091226667165756,0.3235592204146087,0.02849269803846255,0.389839603099972,0.08360052256466588,0.45208546840227565,0.4936390317403353,0.3700347162210024,0.026079908930338347,0.45208546840227565,0.19094323263718532,0.3772028982639313,0.2332855612039566,0.16134768724441528,0.2782239615917206,0.26549315452575684,0.12217841297388077,0.3080498278141022,0.8077517151832581,0.07360804080963135,0.27782878279685974,0.5713512301445007,0.05864749476313591
7,0.0001,1.1710334960371256,0.4907824709816578,1.3324902351085957,0.36466820781255754,0.5256761912701905,46.39828896522522,0.3600058127194643,0.37668171897530556,0.29621528275310993,0.0322750061750412,0.3600058127194643,0.11400669995055068,0.41310768402539766,0.5173280789301946,0.3297402487351344,0.02803336075292184,0.41310768402539766,0.1720537679699751,0.41286754608154297,0.249966099858284,0.1750718504190445,0.2974972128868103,0.27593329548835754,0.13171736896038055,0.3242279887199402,0.8453885912895203,0.08195587992668152,0.2887362539768219,0.5816282033920288,0.06459537893533707
8,0.0001,1.1450922209769487,0.5211528476405547,1.2224815295292781,0.44604980034003533,0.6082633039585507,45.87737226486206,0.335809504147619,0.3643629178404808,0.2715450129471719,0.033392893441487104,0.335809504147619,0.110934381140396,0.368538877597222,0.43369038838606616,0.30303882635556734,0.03142126171061626,0.368538877597222,0.19135708992297834,0.4504978358745575,0.2720016539096832,0.18960800766944885,0.3145454227924347,0.2900659441947937,0.13962498307228088,0.3398377001285553,0.9244158267974854,0.08948859572410583,0.2942136824131012,0.6317638158798218,0.07054656744003296
9,0.0001,1.1207430036738515,0.5279063273613659,1.3819278130164514,0.3145055890923829,0.47298392366973424,38.59310698509216,0.312374206725508,0.35543984919786453,0.2512058336287737,0.03765412361826748,0.312374206725508,0.15420431239181198,0.398409359730207,0.5871326020130745,0.32282045804537257,0.03692682316670051,0.398409359730207,0.22199303141007057,0.4894873797893524,0.2974908947944641,0.20404435694217682,0.3274834156036377,0.30632326006889343,0.1481698602437973,0.34475839138031006,1.0065521001815796,0.09557346254587173,0.29696327447891235,0.70989590883255,0.07852339744567871
