epoch,lr,loss,iou,val_loss,val_iou,val_dice,epoch_sec,train_ctrl,train_foc,train_ma_mean,train_rho_std,train_ctrl_bce,train_cell_iou,val_ctrl,val_foc,val_ma_mean,val_rho_std,val_ctrl_bce,val_cell_iou,norm_route1_wc,norm_route1_wa,norm_route2_wc,norm_route2_wa,norm_route3_wc,norm_route3_wa,norm_route4_wc,norm_route4_wa
0,0.0001,1.3273615166544914,0.40261343536531097,1.377552841648911,6.443642041409528e-05,0.00012886348525227725,70.64046001434326,0.6930148378014565,0.6542994603514671,0.500618327409029,0.0003991185662926,0.6930148378014565,0.17491228971630335,0.6931918317621405,0.695344121167154,0.5006478284344529,6.159948944431645e-05,0.6931918317621405,0.0,0.024394584819674492,0.021367190405726433,0.03905460238456726,0.03356488421559334,0.07306187599897385,0.0751662477850914,0.07808870822191238,0.07855531573295593
1,0.0001,1.1990238428115845,0.5773723695506722,1.3579974607987837,0.49383547703381053,0.6584891677520159,10.80062222480774,0.6920904517173767,0.5832158364355564,0.5049755834043026,0.002104574545228388,0.6920904517173767,0.46725741028785706,0.6931587313160752,0.6970345143115881,0.5034210844473406,0.0009144053099479413,0.6931587313160752,0.4873038629690806,0.04788101091980934,0.042504746466875076,0.06484491378068924,0.05603465065360069,0.10525884479284286,0.11460217833518982,0.10230091959238052,0.10255289077758789
2,0.0001,1.1179619953036308,0.6332613515001765,1.3345751184405703,0.5288890491943832,0.6898204305204998,10.593519926071167,0.6898671053349972,0.536339083686471,0.5084884911775589,0.004087108944077045,0.6898671053349972,0.5248169302940369,0.6929074038158763,0.7304027766892405,0.5045526750159987,0.0020552931536892147,0.6929074038158763,0.5260723278377996,0.06972585618495941,0.06178281456232071,0.08523224294185638,0.07638728618621826,0.13379958271980286,0.1547885239124298,0.11865618079900742,0.12052220851182938
3,0.0001,1.054547294974327,0.6678503843568551,1.3305371530128247,0.5288890491943832,0.6898204305204998,9.976260423660278,0.6860209442675114,0.5023576002568007,0.5103969648480415,0.005976943240966648,0.6860209442675114,0.5496145002543926,0.6926768765305028,0.7247968045147982,0.5059801105296973,0.003538346630662228,0.6926768765305028,0.5261019495400515,0.08894843608140945,0.08002595603466034,0.1028752475976944,0.09636180102825165,0.16056333482265472,0.19598457217216492,0.13495637476444244,0.14113709330558777
4,0.0001,1.0195621624588966,0.6809125266735269,1.3186684341141672,0.5246690870324738,0.685912109899521,10.342921257019043,0.6803320683538914,0.4840861950069666,0.5118202343583107,0.008225303783547133,0.6803320683538914,0.5654446315020323,0.6920694185025764,0.7200980457392606,0.506809079285824,0.0045614499372966365,0.6920694185025764,0.5261185945886554,0.10573894530534744,0.09805668145418167,0.11804986745119095,0.11683820188045502,0.17992569506168365,0.24646443128585815,0.15057829022407532,0.1615675985813141
5,0.0001,0.975889764726162,0.709286051623913,1.275027907255924,0.4868632451505661,0.6526460085725174,10.232162475585938,0.6730362288653851,0.46078138425946236,0.511132001876831,0.010209936881437898,0.6730362288653851,0.5814979318529367,0.6898946744022947,0.6603506406148275,0.504767894744873,0.005693282198273774,0.6898946744022947,0.5269513952009606,0.12112503498792648,0.11366485059261322,0.13283367455005646,0.13448993861675262,0.19763532280921936,0.2867826819419861,0.16642187535762787,0.1790013313293457
6,0.0001,0.9445837810635567,0.7231224442709129,1.1646608836723096,0.5635457547587628,0.7176398030118692,10.16744613647461,0.6650646440684795,0.44348786771297455,0.5079396925866604,0.011649016931187361,0.6650646440684795,0.5872726980596781,0.6827326579527422,0.6111200415726864,0.5030485409678835,0.009276173613739737,0.6827326579527422,0.5319341159228123,0.13575051724910736,0.13004204630851746,0.14735634624958038,0.1522808074951172,0.20998072624206543,0.3349064290523529,0.1821628361940384,0.20211254060268402
7,0.0001,0.925992775708437,0.7338228634535852,1.0812154972192012,0.6147557704208519,0.7586087125853247,10.119447469711304,0.6562717817723751,0.4370645470917225,0.5044909529387951,0.013207791780587286,0.6562717817723751,0.5988464318215847,0.6766878691586581,0.5349339030005715,0.4978271009344043,0.011469322341409597,0.6766878691586581,0.5382292658993693,0.14894713461399078,0.1446119248867035,0.1621200442314148,0.1674043983221054,0.2217184454202652,0.37173542380332947,0.19490258395671844,0.22226735949516296
8,0.0001,0.8939279727637768,0.7505167244586755,1.0267372420339873,0.6662158610021222,0.7965847899900435,10.61051082611084,0.6450672708451748,0.421942625194788,0.4991767480969429,0.014315083913970739,0.6450672708451748,0.61702074483037,0.6685848344456066,0.5109407179283373,0.4968399026177146,0.012446562195140305,0.6685848344456066,0.5546497693567565,0.16173137724399567,0.1596110463142395,0.1743726283311844,0.18335434794425964,0.2331298440694809,0.4158501625061035,0.20583562552928925,0.24241240322589874
9,0.0001,0.8851110525429249,0.751206345173941,1.069652456225771,0.6241741881558965,0.7643904439513793,11.259972095489502,0.6351158022880554,0.4208582937717438,0.49260070733726025,0.015529413882177323,0.6351158022880554,0.6265192665159702,0.6648980415228641,0.5482969554987821,0.49025085749048175,0.013459160923957825,0.6648980415228641,0.5529341128739443,0.17346243560314178,0.17296060919761658,0.18626347184181213,0.19651161134243011,0.24401713907718658,0.45743751525878906,0.2200603038072586,0.259239137172699
10,0.0001,0.8667844831943512,0.7616579347605845,1.0641054565256292,0.6197740485976285,0.7625294320442514,9.683560848236084,0.6245812699198723,0.4120195247232914,0.48576806485652924,0.016006539401132613,0.6245812699198723,0.6220223121345043,0.6602567813613198,0.5311051625193972,0.4917537353255532,0.013255662143681988,0.6602567813613198,0.5652582835067402,0.18525956571102142,0.1873876452445984,0.19903592765331268,0.2121724784374237,0.2577008008956909,0.5039849281311035,0.23167385160923004,0.27918416261672974
11,0.0001,0.8499035611748695,0.7724764923976599,1.0956763570958918,0.5670003763049448,0.7214008905142428,9.44131350517273,0.6153979748487473,0.40419742465019226,0.4796814303845167,0.017814713763073087,0.6153979748487473,0.6292640008032322,0.6625337131095655,0.5410398010051611,0.4777891888762965,0.013172309253026138,0.6625337131095655,0.5396433156548124,0.19651523232460022,0.20055313408374786,0.21301542222499847,0.22496895492076874,0.26522138714790344,0.5352101922035217,0.2439911663532257,0.29864048957824707
12,0.0001,0.842924490571022,0.7684922506517763,1.0350822246435918,0.6482446149425128,0.7839893935130977,9.346417427062988,0.6034273281693459,0.40661805868148804,0.4729930981993675,0.018385042436420918,0.6034273281693459,0.6425977759063244,0.6484596205480171,0.526656833561984,0.48522855025349243,0.013529919341883877,0.6484596205480171,0.5884159676956408,0.20803003013134003,0.21400313079357147,0.22285740077495575,0.23860959708690643,0.27668115496635437,0.5851219296455383,0.2567013204097748,0.31912344694137573
13,0.0001,0.8168601617217064,0.783342909300545,1.0412166985598477,0.5998201780983764,0.7484962187289078,11.039697170257568,0.5912639796733856,0.3918528500944376,0.4658151362091303,0.01981317310128361,0.5912639796733856,0.6532735042273998,0.641121304396427,0.5123250430280512,0.47279762318640045,0.015039123510095205,0.641121304396427,0.5838334506208246,0.21897363662719727,0.22752714157104492,0.234502911567688,0.2507599890232086,0.2854985296726227,0.6218936443328857,0.26696494221687317,0.3386179208755493
14,0.0001,0.8104754574596882,0.7867123132598673,0.9943861744620583,0.6674372609189021,0.7984372867239424,9.882085084915161,0.5823540724813938,0.3930466454476118,0.4571141954511404,0.02045949676539749,0.5823540724813938,0.6524513438344002,0.6378430922826132,0.49789916024063574,0.4768669271107876,0.014507944695651531,0.6378430922826132,0.5981326374140653,0.22892999649047852,0.2395322620868683,0.2442808598279953,0.2634107768535614,0.2921130657196045,0.6465526819229126,0.27542176842689514,0.3556223213672638
