epoch,lr,loss,iou,val_loss,val_iou,val_dice,epoch_sec,train_ctrl,train_foc,train_ma_mean,train_rho_std,train_ctrl_bce,train_cell_iou,val_ctrl,val_foc,val_ma_mean,val_rho_std,val_ctrl_bce,val_cell_iou,norm_route1_wc,norm_route1_wa,norm_route1_beta,norm_route2_wc,norm_route2_wa,norm_route2_beta,norm_route3_wc,norm_route3_wa,norm_route3_beta,norm_route4_wc,norm_route4_wa,norm_route4_beta
0,0.0001,1.2095347717404366,0.4534332395144571,1.2647612925731775,0.48416474298747386,0.6508076258658141,70.64148306846619,0.6929798945784569,0.47441354021430016,0.0,0.0,0.6929798945784569,0.2579806577414274,0.6931378913648201,0.49265822768211365,0.0,0.0,0.6931378913648201,0.5262488162878788,0.02575060725212097,0.0,0.007280651479959488,0.0411183126270771,0.0,0.008219744078814983,0.07551730424165726,0.0,0.009739095345139503,0.07817353308200836,0.0,0.008248107507824898
1,0.0001,1.104532927274704,0.5990558576290372,1.2807119831894382,0.3550080882240301,0.5239054953519218,10.015501499176025,0.6918241009116173,0.437346488237381,0.0,0.0,0.6918241009116173,0.46924183517694473,0.6930537422498068,0.5026101018443252,0.0,0.0,0.6930537422498068,0.5262488162878788,0.048788607120513916,0.0,0.01597786135971546,0.06946256011724472,0.0,0.016053639352321625,0.11569687724113464,0.0,0.01463428046554327,0.10598623752593994,0.0,0.011570320464670658
2,0.0001,1.0391361713409424,0.6495362889742434,1.379136663494688,0.2487443492488537,0.39779300950445473,9.456831216812134,0.6892825216054916,0.4192151315510273,0.0,0.0,0.6892825216054916,0.5262058395892382,0.6927442604845221,0.5370169354207588,0.0,0.0,0.6927442604845221,0.5262488162878788,0.06850177049636841,0.0,0.02409622073173523,0.09275049716234207,0.0,0.02279011718928814,0.1431068331003189,0.0,0.01836933195590973,0.12501585483551025,0.0,0.014145872555673122
3,0.0001,0.9991236850619316,0.6674201032722036,1.2718385060628254,0.3227732908105498,0.4871709487080049,9.424489736557007,0.6853097528219223,0.4048824142664671,0.0,0.0,0.6853097528219223,0.5534134116023779,0.6925523208849358,0.5016877470594464,0.0,0.0,0.6925523208849358,0.5262488162878788,0.0859357938170433,0.0,0.03139861300587654,0.11426160484552383,0.0,0.02910609357059002,0.16843074560165405,0.0,0.021418290212750435,0.14286178350448608,0.0,0.017067208886146545
4,0.0001,0.9490489661693573,0.7135049238018546,1.2125697569413618,0.5280531316789661,0.6890733649260667,9.596805334091187,0.6790003180503845,0.38879742845892906,0.0,0.0,0.6790003180503845,0.5720472410321236,0.691884868072741,0.5156564748648441,0.0,0.0,0.691884868072741,0.5262488162878788,0.10239710658788681,0.0,0.038484591990709305,0.13491955399513245,0.0,0.03567090258002281,0.18651165068149567,0.0,0.024373728781938553,0.15991832315921783,0.0,0.020627932623028755
5,0.0001,0.9376654177904129,0.6965238531271997,1.1687786615256108,0.516711321844007,0.6796050929861536,9.760921478271484,0.6721894256770611,0.3831360060721636,0.0,0.0,0.6721894256770611,0.5865200720727444,0.6898460893919973,0.4856251875559489,0.0,0.0,0.6898460893919973,0.5265740192297733,0.11676699668169022,0.0,0.04460185021162033,0.15370197594165802,0.0,0.041512973606586456,0.20781360566616058,0.0,0.027862010523676872,0.1777166873216629,0.0,0.024527383968234062
6,0.0001,0.9063373394310474,0.7304177980367978,1.033613580645937,0.628154184065438,0.7692670733176457,9.402245044708252,0.6638780906796455,0.37665713764727116,0.0,0.0,0.6638780906796455,0.5871639661490917,0.6833137201540398,0.43547211993824353,0.0,0.0,0.6833137201540398,0.5309109326564905,0.13014569878578186,0.0,0.0500178188085556,0.17132316529750824,0.0,0.04725392907857895,0.22514554858207703,0.0,0.030891312286257744,0.1940927356481552,0.0,0.02833906002342701
7,0.0001,0.8787621892988682,0.7458596273583389,1.0261648495992024,0.6236846020246877,0.7668722300787418,9.818485736846924,0.6543078348040581,0.36315399780869484,0.0,0.0,0.6543078348040581,0.6159120388329029,0.6765618667458043,0.4324794592279376,0.0,0.0,0.6765618667458043,0.5501293540000916,0.14283789694309235,0.0,0.05525096133351326,0.18578852713108063,0.0,0.05290840193629265,0.23527361452579498,0.0,0.0336555540561676,0.2083563655614853,0.0,0.03150903061032295
8,0.0001,0.8644080832600594,0.7526257997989348,0.9529951016108195,0.6660701547015492,0.7964477930832825,9.079414129257202,0.6436267420649529,0.3653678856790066,0.0,0.0,0.6436267420649529,0.6174853593111038,0.6688993211948511,0.39817299806710443,0.0,0.0,0.6688993211948511,0.5694482642592806,0.15515798330307007,0.0,0.06026957184076309,0.20076294243335724,0.0,0.058631476014852524,0.24810783565044403,0.0,0.03639086335897446,0.22349753975868225,0.0,0.03590283915400505
9,0.0001,0.8462952747941017,0.7667687523786169,0.9712052489771987,0.6519531469425045,0.7849296199934344,9.273959636688232,0.6325541324913502,0.3631880469620228,0.0,0.0,0.6325541324913502,0.6365784369409084,0.6634329557418823,0.41907471960241144,0.0,0.0,0.6634329557418823,0.577446227723902,0.16719196736812592,0.0,0.0651371106505394,0.2122652679681778,0.0,0.06413338333368301,0.2606406807899475,0.0,0.03948703780770302,0.2348170429468155,0.0,0.038274288177490234
