epoch,lr,loss,iou,val_loss,val_iou,val_dice,epoch_sec,train_ctrl,train_foc,train_ma_mean,train_rho_std,train_ctrl_bce,train_cell_iou,val_ctrl,val_foc,val_ma_mean,val_rho_std,val_ctrl_bce,val_cell_iou
0,0.0001,1.299300193786621,0.4434392501952433,1.362807035446167,0.48615342630281194,0.6526345568260551,47.8367063999176,0.6930056028068066,0.6385343782603741,0.498990923166275,0.0,0.6930056028068066,0.042524642833086546,0.6931668772841945,0.6928204370267463,0.4998601593754508,0.0,0.6931668772841945,0.0
1,0.0001,1.1738287508487701,0.597434630785887,1.3650971506581162,0.3898294957145768,0.5597337990490756,9.627912044525146,0.6920056417584419,0.5674468539655209,0.49807741306722164,0.0,0.6920056417584419,0.2852231031283736,0.6931688749428951,0.7025625254168655,0.49975307421250775,0.0,0.6931688749428951,0.18131814580975156
2,0.0001,1.1059375032782555,0.637662723947402,1.331283536824313,0.5288890491943832,0.6898204305204998,10.303528785705566,0.68972497433424,0.5315982326865196,0.49628917686641216,0.0,0.68972497433424,0.4379931930452585,0.6930064288052645,0.71743233276136,0.4984186670996926,0.0,0.6930064288052645,0.525477566502311
3,0.0001,1.0344122610986233,0.684547231632755,1.3408570289611816,0.5288890491943832,0.6898204305204998,9.619356393814087,0.685737207531929,0.49125601910054684,0.4930763505399227,0.0,0.685737207531929,0.4886788632720709,0.6928630037741228,0.7587366862730547,0.4967904271501483,0.0,0.6928630037741228,0.5254575438571699
4,0.0001,0.9999199733138084,0.698878095789849,1.330158146944913,0.5275313800732893,0.688601110120165,9.562329530715942,0.6799708120524883,0.474479254335165,0.48868172988295555,0.0,0.6799708120524883,0.5263517126441002,0.6923943161964417,0.7559965939232798,0.4935592972871029,0.0,0.6923943161964417,0.5260666346911228
5,0.0001,0.965179804712534,0.7180291058385749,1.2809182008107503,0.5178430436230897,0.6801199799934644,9.724992513656616,0.6733517572283745,0.4566776920109987,0.48305049911141396,0.0,0.6733517572283745,0.5502091851085424,0.6904951695239905,0.7027383193825231,0.4873769120736556,0.0,0.6904951695239905,0.5266097522143162
6,0.0001,0.9430253952741623,0.727690356632583,1.2019454565915195,0.5255382957110281,0.6856494938954684,9.50080418586731,0.665638729929924,0.4462653361260891,0.47727644070982933,0.0,0.665638729929924,0.5642436854541302,0.6864688793818156,0.604681650797526,0.4829706838636687,0.0,0.6864688793818156,0.5302183962229526
7,0.0001,0.9172024987637997,0.742633062357443,1.087018659620574,0.6212285758085759,0.7644640436875736,9.246114015579224,0.6560566499829292,0.43462240137159824,0.47048951126635075,0.0,0.6560566499829292,0.5904360860586166,0.6815534920403452,0.5490085663217487,0.4746723102800774,0.0,0.6815534920403452,0.539959913853443
8,0.0001,0.8861163109540939,0.7640847351566045,1.1569757172555635,0.5520840140017108,0.7100932601194336,10.051450729370117,0.6463271379470825,0.4185181763023138,0.46271984092891216,0.0,0.6463271379470825,0.5922214388847351,0.6786863117507009,0.5734864021792556,0.4699726068612301,0.0,0.6786863117507009,0.5439121786392096
9,0.0001,0.9004871435463428,0.7390578496531712,1.069066715962959,0.591215570589847,0.7419028622096707,10.744327306747437,0.6363898254930973,0.43423702381551266,0.45543058030307293,0.0,0.6363898254930973,0.6084647439420223,0.6727925051342357,0.5352321754802357,0.46483983596165973,0.0,0.6727925051342357,0.5477802563797344
10,0.0001,0.850101824849844,0.7801628902764218,1.0207870151057388,0.6782947503903521,0.8067304372457839,9.704655885696411,0.6235771849751472,0.4049440287053585,0.44772094674408436,0.0,0.6235771849751472,0.6329229846596718,0.6698796279502638,0.5167866836894642,0.45612865686416626,0.0,0.6698796279502638,0.547262862776265
11,0.0001,0.8378571681678295,0.785042308360217,1.0356339396852436,0.6438286282820879,0.7801679870419891,10.424834728240967,0.6124225035309792,0.4018853195011616,0.4371333662420511,0.0,0.6124225035309792,0.6222172304987907,0.6674088673158125,0.522453329779885,0.45603701291662274,0.0,0.6674088673158125,0.5532758804884824
12,0.0001,0.8341305032372475,0.7802154962968071,1.060228098522533,0.6214046979381148,0.7636808423639726,9.4813871383667,0.6018103696405888,0.4037148356437683,0.42997919768095016,0.0,0.6018103696405888,0.6390714235603809,0.6643916368484497,0.5412325949379893,0.4423008317297155,0.0,0.6643916368484497,0.5454466984127507
