epoch,lr,loss,iou,val_loss,val_iou,val_dice,epoch_sec,train_ctrl,train_foc,train_ma_mean,train_rho_std,train_ctrl_bce,train_cell_iou,val_ctrl,val_foc,val_ma_mean,val_rho_std,val_ctrl_bce,val_cell_iou,norm_route1_wc,norm_route1_wa,norm_route1_beta,norm_route2_wc,norm_route2_wa,norm_route2_beta,norm_route3_wc,norm_route3_wa,norm_route3_beta,norm_route4_wc,norm_route4_wa,norm_route4_beta
0,0.0001,1.4290003848075867,0.32406348323640993,1.3807228899002075,0.3520529342362921,0.5188335774745756,86.27981996536255,0.6586324578523636,0.5566036993265152,0.4894064682722092,0.006644316322854138,0.6586324578523636,0.057613856575335375,0.5966709733009339,0.5271217978000641,0.45633637070655825,0.009868567660450935,0.5966709733009339,0.04494967763777822,0.1022426038980484,0.09046590328216553,0.05143232271075249,0.11296173930168152,0.1068941056728363,0.03505858778953552,0.17486697435379028,0.19609211385250092,0.02549045905470848,0.16763931512832642,0.17847944796085358,0.026488756760954857
1,0.0001,1.274297149181366,0.42436137107466615,1.223473825454712,0.4125427757233846,0.5792585754967693,50.66187858581543,0.5777327662706375,0.47991325706243515,0.4441420665383339,0.015186978206038475,0.5777327662706375,0.2646196572482586,0.5168389427661896,0.43368234515190124,0.399400395154953,0.01229920145124197,0.5168389427661896,0.1835712257027626,0.1851450800895691,0.14796318113803864,0.09968267381191254,0.17063869535923004,0.17621327936649323,0.05991480499505997,0.2635685205459595,0.3908754587173462,0.05584147572517395,0.24291566014289856,0.2824985682964325,0.04898390173912048
2,0.0001,1.2000297617912292,0.47310338820872716,1.185279860496521,0.4413975253799485,0.6081915048395953,66.4318540096283,0.5078206706047058,0.4514201483130455,0.3908712273836136,0.013531297221779823,0.5078206706047058,0.3037172715365887,0.46566479563713076,0.42420215606689454,0.35326085925102235,0.011836328394711017,0.46566479563713076,0.14465351670980453,0.25657448172569275,0.19254493713378906,0.1381407529115677,0.21510687470436096,0.23094689846038818,0.08429883420467377,0.3258747160434723,0.5478689670562744,0.08972461521625519,0.30168136954307556,0.3725828230381012,0.07060030102729797
3,0.0001,1.1412857353687287,0.5120818507382172,1.1211829996109008,0.49359549507335926,0.6573762457689153,54.60409069061279,0.4536300954222679,0.4279032754898071,0.34638427942991257,0.01510554322041571,0.4536300954222679,0.3155994851887226,0.43169037461280824,0.41403735280036924,0.3246435523033142,0.014217918366193771,0.43169037461280824,0.27949134171009066,0.32278263568878174,0.2274901121854782,0.17356988787651062,0.2629491984844208,0.2704641819000244,0.10888383537530899,0.3826514184474945,0.6650245189666748,0.11963026970624924,0.36044129729270935,0.4836673438549042,0.09269774705171585
4,0.0001,1.1000516682863235,0.5304304082145925,1.1005811595916748,0.46353203497512574,0.6240271765773268,59.92927837371826,0.41190865814685823,0.4167378622293472,0.3092432928085327,0.02085984466597438,0.41190865814685823,0.31612399019300935,0.364805725812912,0.39281592845916746,0.23708102703094483,0.020206069871783257,0.364805725812912,0.12484371468424797,0.38277414441108704,0.26081860065460205,0.2059565633535385,0.30802759528160095,0.31572407484054565,0.13299068808555603,0.4489317536354065,0.7781169414520264,0.14808544516563416,0.4020909368991852,0.5535005927085876,0.11144567281007767
5,0.0001,1.059185448884964,0.5583409352529263,1.148556547164917,0.38038316285188695,0.5405695829277457,51.573275566101074,0.3791411241889,0.40274260580539706,0.27901514530181887,0.024459723737090825,0.3791411241889,0.3185137924551964,0.3524114716053009,0.4100132167339325,0.24022759914398192,0.024067712649703026,0.3524114716053009,0.17921106323599814,0.4336191415786743,0.28663721680641174,0.23515398800373077,0.33636072278022766,0.34830349683761597,0.1551649123430252,0.4951246678829193,0.8904146552085876,0.1720970869064331,0.4314669668674469,0.6558451056480408,0.12708532810211182
6,0.0001,1.0285929614305496,0.5663457967384342,1.058208818435669,0.5226899817935036,0.6837016249502735,51.868711709976196,0.3554759731888771,0.3952255210280418,0.2540090084075928,0.02941437279805541,0.3554759731888771,0.31344989478588103,0.3470668864250183,0.4097889471054077,0.24064425706863404,0.027026167809963225,0.3470668864250183,0.2131052315235138,0.4799150824546814,0.30878588557243347,0.2639080584049225,0.3709588348865509,0.3721143901348114,0.1746554970741272,0.547124445438385,0.976782500743866,0.1896992325782776,0.4731944799423218,0.7335680723190308,0.1447450965642929
7,0.0001,0.991369731426239,0.5888560651958142,1.0223744487762452,0.533528685668633,0.6908514608171172,52.9331693649292,0.33695083677768706,0.3784131559729576,0.23378876745700836,0.0355038982629776,0.33695083677768706,0.3205826450884342,0.3289938998222351,0.34549875974655153,0.20131154477596283,0.029103446751832962,0.3289938998222351,0.10214186489582061,0.5243993401527405,0.3248307406902313,0.29268333315849304,0.3992708921432495,0.39049044251441956,0.19397418200969696,0.5961781144142151,1.061468243598938,0.2054113894701004,0.5025262832641602,0.8419764041900635,0.1574731320142746
8,0.0001,0.9626225578784943,0.5897256660348272,0.9355848813056946,0.5790414533854132,0.7314140659596617,51.80659794807434,0.3234851738810539,0.36130616575479507,0.21781779780983926,0.03925238512456417,0.3234851738810539,0.3059054282307625,0.3082553219795227,0.3268759036064148,0.18742148637771605,0.039533499628305435,0.3082553219795227,0.24859072089195253,0.562556266784668,0.34580016136169434,0.3201662302017212,0.4247206747531891,0.421911358833313,0.21187253296375275,0.6633905172348022,1.1370513439178467,0.21950000524520874,0.5247372388839722,0.9074439406394958,0.1706026792526245
9,0.0001,0.926237695813179,0.6076029548921875,0.9166309881210327,0.5882104182041682,0.7365303251861864,51.98658204078674,0.312904594540596,0.33606512382626536,0.20468162164092063,0.04346072558313608,0.312904594540596,0.32823908880352975,0.30033185362815856,0.2866872727870941,0.1721937745809555,0.04075006201863289,0.30033185362815856,0.20176255971193313,0.6041739583015442,0.3664359152317047,0.3473551571369171,0.4562397003173828,0.4508238136768341,0.229045569896698,0.7077612280845642,1.2100634574890137,0.2306741625070572,0.5410546660423279,0.9819647669792175,0.18189378082752228
