epoch,lr,loss,iou,val_loss,val_iou,val_dice
0,0.0001,0.983637039065361,0.3239881648388362,0.9697473096847534,0.19498927181293568,0.3126674100264106
1,0.0001,0.889848473072052,0.41376903786205377,0.8996297025680542,0.4060962271443881,0.5719124010050745
2,0.0001,0.8444831168651581,0.4649472843908846,0.8431708073616028,0.43663157989885365,0.6031473286888107
3,0.0001,0.8107747358083724,0.4951399426838832,0.8306093001365662,0.3949397707950172,0.5568866968835181
4,0.0001,0.782562290430069,0.5200477771688518,0.8275188493728638,0.5002394537641419,0.6614696025804072
5,0.0001,0.7573965239524841,0.5341900018149626,0.751825692653656,0.5063390307340044,0.6682095958197646
6,0.0001,0.7309347355365753,0.5594844532788964,0.7519054627418518,0.5038486055110348,0.6642276911752613
7,0.0001,0.7073618078231811,0.5698137083183624,0.737163417339325,0.5288188737491526,0.6843421787876443
8,0.0001,0.6910669094324112,0.5696761620778209,0.6860317087173462,0.5496228975699848,0.7051081046706676
9,0.0001,0.6662074208259583,0.5879835785517884,0.706095643043518,0.5296538415387101,0.6866951858914754
10,0.0001,0.6486861571669579,0.591845847210418,0.6543165183067322,0.5309653428534226,0.6877300657435299
11,0.0001,0.628932250738144,0.5984765164669493,0.6396594655513763,0.5696770733960804,0.7215952487466067
12,0.0001,0.6110203847289085,0.6113838493103397,0.6314959692955017,0.5777127762385231,0.7255897382252826
13,0.0001,0.5885130447149277,0.6159929893979936,0.6060863423347473,0.5856445645250905,0.7336868494699411
14,0.0001,0.5680823737382888,0.6302775904300594,0.6245558059215546,0.5569233571455046,0.7106030476141223
15,0.0001,0.5519073504209518,0.6274745725841527,0.5466224908828735,0.6058492299686682,0.7503731425633713
16,0.0001,0.5355564710497857,0.6377844750677272,0.5680124521255493,0.604694861810894,0.7496491410682676
17,0.0001,0.5200576427578926,0.6422440045744412,0.5286976051330566,0.6149178083049552,0.757405110485218
18,0.0001,0.5021937462687492,0.644753239364041,0.48032090544700623,0.65766104283704,0.7900784740372366
19,0.0001,0.4793928351998329,0.6747314571283415,0.520454238653183,0.627036871635292,0.7660830230807918
20,0.0001,0.46598156303167343,0.6710130214303008,0.46658917546272277,0.6470834936129058,0.7811033719463059
21,0.0001,0.4629240584373474,0.6634430313038469,0.4818742477893829,0.6420870171059103,0.7778502530548841
22,0.0001,0.44238019704818726,0.6772371398411176,0.44586158633232115,0.6512104250164751,0.7847320328439025
23,0.0001,0.4356334888935089,0.6732698845443224,0.43714667797088624,0.6712090536631963,0.7988626346893877
24,0.0001,0.4197156329452991,0.6756058718516765,0.4645299518108368,0.632455710871578,0.7696029522364739
25,0.0001,0.4112147757411003,0.6803902364339695,0.43364083528518677,0.6585106505278824,0.7892166064977618
26,0.0001,0.38742467924952506,0.7008683013552571,0.43497876524925233,0.6402720250385895,0.7735698568945818
27,0.0001,0.37903192326426505,0.7007202054257643,0.4285676908493042,0.6651579070340542,0.7938067538351703
28,0.0001,0.37680351674556734,0.6963302546519404,0.4314435851573944,0.664963670666028,0.7933885583978327
29,0.0001,0.3650798489153385,0.6963349878460094,0.3686214500665665,0.6832482511506677,0.8062457846228819
30,0.0001,0.3650343535840511,0.7015793989601303,0.47545405507087707,0.5818211804960643,0.7301792375461291
31,0.0001,0.34673375308513643,0.7108445111531185,0.4140408658981323,0.6237940910671713,0.7586343837018146
32,0.0001,0.3409911797940731,0.7083421504667848,0.3827688646316528,0.6549047809751666,0.7854134503973232
33,0.0001,0.3314129348099232,0.7175605231366988,0.4008660590648651,0.6240503981714974,0.7627119733804946
34,0.0001,0.3266868959367275,0.7177385165387885,0.35262857139110565,0.6948315143253012,0.8150773540679525
35,0.0001,0.31764077380299566,0.7223861343585157,0.3892973971366882,0.6388619893909595,0.7749207361639905
36,0.0001,0.3259321017563343,0.7003969206235073,0.39502699971199035,0.6564290139703239,0.7883850060249104
37,0.0001,0.30298868060112,0.7285178332396023,0.3664232164621353,0.6477943851931884,0.7798648912768332
38,0.0001,0.3031978589296341,0.718771987676714,0.3792398864030838,0.6330056373268677,0.7673556106420655
39,0.0001,0.29373306661844256,0.7215595626122763,0.3665082961320877,0.6795030970512738,0.8013390267665597
40,0.0001,0.28287082478404046,0.7319406875117933,0.37900080263614655,0.6587550997275646,0.7888934651628263
41,0.0001,0.2878134796023369,0.7351588041558144,0.31426959335803983,0.7089896209384652,0.8247529201291027
42,0.0001,0.27646056726574897,0.7369129503077222,0.31925063669681547,0.7095819758229897,0.8244462719109777
43,0.0001,0.286534483358264,0.7345482713868207,0.3049839049577713,0.6995448483225423,0.8193657292720654
44,0.0001,0.27210812114179134,0.7435288071216636,0.3832686454057693,0.6206918922712366,0.7593293482632062
