epoch,lr,loss,iou,val_loss,val_iou,val_dice
0,0.0001,1.087462834517161,0.23530195550725092,1.0949461225603447,2.420512340437529e-10,4.841024679340941e-10
1,0.0001,0.9938344011704127,0.36382851574394726,1.0000685922435073,0.3593612925703388,0.5220513282666344
2,0.0001,0.9584968109925588,0.4135620249084747,0.9770413246311125,0.37479903051315894,0.5417267049731119
3,0.0001,0.927829826871554,0.4638666502407976,0.9615353394727237,0.37955067168422485,0.5471307556424699
4,0.0001,0.9086197257041931,0.4876214185224546,0.947823884057217,0.4096526502442314,0.5782681365479858
5,0.0001,0.8858377863963445,0.518415355372982,0.9367585700066363,0.44770624657243413,0.6150227615542324
6,0.0001,0.870088932911555,0.5322173059503503,0.940591637228356,0.40481134466138613,0.569580876195746
7,0.0001,0.8509433070818583,0.5525261804457338,0.9146400201516073,0.3962609009316346,0.5620177253956317
8,0.0001,0.8488488624493281,0.5344107657065859,0.920571174777922,0.379464217129736,0.5441330525336358
9,0.0001,0.8222245315710703,0.5762614147729256,0.8960780550221927,0.41633860664009315,0.5832734736084014
10,0.0001,0.809718374411265,0.5770169903143729,0.8727201829191114,0.48248192527608125,0.6465736603319617
11,0.0001,0.7915798743565877,0.6035283134973075,0.8558771883855101,0.522808377554369,0.6828510568536944
12,0.0001,0.7795071601867676,0.6083016373058352,0.8174440518754428,0.5575909744957879,0.7135304810428257
13,0.0001,0.76418603459994,0.6212113654188951,0.8436175174400454,0.48447875624158576,0.647240651716911
14,0.0001,0.7553463459014893,0.6142755219722644,0.8071538542137772,0.5392598639936693,0.6971537720832806
15,0.0001,0.7421309322118759,0.6282740799529366,0.8652194601590516,0.43252718651901867,0.6005049341891767
16,0.0001,0.7282177170117696,0.6302590367429279,0.7896432710475609,0.5295545905887742,0.6896098775046824
17,0.0001,0.7073583513498306,0.6550800062713366,0.7521613523608348,0.6029010999664584,0.7494614686849772
18,0.0001,0.7066454837719599,0.6333447938710436,0.7545044207182087,0.5305808767547834,0.6893977913209459
19,0.0001,0.6914483378330867,0.6424446450325172,0.7444754506720871,0.581761308212081,0.7322810069451383
20,0.0001,0.6794679403305054,0.6496528979018421,0.7222998298582484,0.5602971384956725,0.7150224164805724
21,0.0001,0.674264504512151,0.640994396231403,0.703859881299441,0.5854030746491632,0.7361563259669398
22,0.0001,0.6452100406090419,0.6768769774052543,0.7026719363009344,0.6085778304580975,0.7547999256345805
23,0.0001,0.6381360679864884,0.6710100592205078,0.6801334345927004,0.6022069228776673,0.7474496596431475
24,0.0001,0.6235710263252259,0.6800108409316705,0.7323211275163244,0.5111913701252803,0.6724460522147641
25,0.0001,0.6138178507486979,0.6823641904794563,0.6601356355870356,0.588499951890647,0.7379140147027898
26,0.0001,0.602918054163456,0.6763334559873256,0.6240418563123609,0.6654092991937158,0.7962898965604879
27,0.0001,0.5834040313959121,0.7098643716223155,0.6062239232610483,0.6848861498336477,0.8098250882994589
28,0.0001,0.5818289230267207,0.6886978768992547,0.5924455455092134,0.6872613181752477,0.8119932271193823
29,0.0001,0.5615798602501552,0.7083249638533023,0.617214174544225,0.6288868011878279,0.7703808308461655
