epoch,lr,loss,iou,val_loss,val_iou,val_dice,epoch_sec,train_ctrl,train_ma_mean,train_rho_std,train_ctrl_bce,train_cell_iou,val_ctrl,val_ma_mean,val_rho_std,val_ctrl_bce,val_cell_iou
0,0.0001,0.9789818376302719,0.4478392657721538,1.0246055379058376,0.19731683770672406,0.3294764643820368,46.984171867370605,0.6930031627416611,0.49899083003401756,0.0,0.6930031627416611,0.04427784747167607,0.6931668375477646,0.4998596382863594,0.0,0.6931668375477646,0.0
1,0.0001,0.8872353211045265,0.6008151343620607,0.9897680463212909,0.5288874702733607,0.6898189041215689,10.617226362228394,0.6920238919556141,0.49808128736913204,0.0,0.6920238919556141,0.28458687476813793,0.6931632703000848,0.4997629794207486,0.0,0.6931632703000848,0.19663603694149942
2,0.0001,0.8337373286485672,0.6460158858175419,0.9679474541635225,0.5288890491943832,0.6898204305204998,10.569940090179443,0.6897851377725601,0.49632415547966957,0.0,0.6897851377725601,0.43842535838484764,0.6930201595479791,0.4984321594238281,0.0,0.6930201595479791,0.5249102070476069
3,0.0001,0.782121192663908,0.6909457837341851,0.9615745363813458,0.5288890491943832,0.6898204305204998,9.667961597442627,0.685777448117733,0.4930452685803175,0.0,0.685777448117733,0.4876314215362072,0.6928692514246161,0.49692372571338306,0.0,0.6928692514246161,0.5254799046299674
4,0.0001,0.7634551711380482,0.6947088276407204,0.9667103146061753,0.5288890491943832,0.6898204305204998,9.707512855529785,0.6800308264791965,0.48866147361695766,0.0,0.6800308264791965,0.52391098998487,0.6923912727471554,0.4938063332528779,0.0,0.6923912727471554,0.5259283374656331
5,0.0001,0.7340585254132748,0.7181259147077802,0.9323539408770475,0.5198403206604257,0.6814233026036024,9.791073322296143,0.6735571175813675,0.48293037340044975,0.0,0.6735571175813675,0.5448878668248653,0.6906733440630364,0.48745079744945874,0.0,0.6906733440630364,0.526460380265207
6,0.0001,0.7139994315803051,0.7333112370795537,0.8526049707875107,0.5679875787782097,0.722152219433634,9.790491580963135,0.665945939719677,0.4769234377890825,0.0,0.665945939719677,0.5570043418556452,0.6865203777949015,0.4818270802497864,0.0,0.6865203777949015,0.5294627176992821
7,0.0001,0.6962481215596199,0.7430601564373132,0.829664409160614,0.6030724511515122,0.7494903070182769,10.963314056396484,0.6565167494118214,0.4705662839114666,0.0,0.6565167494118214,0.583524614572525,0.6819109284516537,0.47456947601202765,0.0,0.6819109284516537,0.5372812341560017
8,0.0001,0.6750741750001907,0.7614411061778726,0.9021141348463116,0.48748429005779004,0.653697612191303,9.880009651184082,0.6470742672681808,0.4625498726963997,0.0,0.6470742672681808,0.5841073077172041,0.678018999822212,0.4717529325774222,0.0,0.678018999822212,0.5460985348080144
9,0.0001,0.680136863142252,0.7360567183592253,0.776572534532258,0.643251778716516,0.7818654176200891,11.469785690307617,0.6369914449751377,0.45556676387786865,0.0,0.6369914449751377,0.6008438318967819,0.671648357853745,0.46564762249137415,0.0,0.671648357853745,0.5556752636577144
10,0.0001,0.6545652337372303,0.7637320746896984,0.7635605642289827,0.6604301261451513,0.7923931546878638,9.666931390762329,0.6251399964094162,0.448161106556654,0.0,0.6251399964094162,0.6238961853086948,0.667310478109302,0.4574518176642331,0.0,0.667310478109302,0.555140862862269
11,0.0001,0.6358313336968422,0.7833195687744292,0.7773738991130482,0.6412759259756275,0.7793745030556039,10.26853346824646,0.6136401332914829,0.43778398260474205,0.0,0.6136401332914829,0.6178597696125507,0.6690284176306291,0.4590127088806846,0.0,0.6690284176306291,0.5560915713960474
12,0.0001,0.63235779479146,0.7760311081274228,0.7855977939836907,0.6296756245942309,0.7704710848220526,9.943416118621826,0.6033414639532566,0.43032523803412914,0.0,0.6033414639532566,0.635203406214714,0.6680920449170199,0.4441005732073928,0.0,0.6680920449170199,0.5414119850505482
13,0.0001,0.6152625195682049,0.7858319330778943,0.748644799897165,0.6712608191646517,0.7998104882110042,9.879414081573486,0.5927527397871017,0.4212671909481287,0.0,0.5927527397871017,0.6430861577391624,0.6595356970122366,0.4440508322282271,0.0,0.6595356970122366,0.5614509428992416
14,0.0001,0.6047215536236763,0.7919689654187917,0.7703549247799497,0.6276086787118952,0.766003918331814,9.635941743850708,0.5798046439886093,0.41331206262111664,0.0,0.5798046439886093,0.6532708033919334,0.6468186992587466,0.446039515914339,0.0,0.6468186992587466,0.5919433136781057
15,0.0001,0.6026787459850311,0.7836939160086838,0.7011273882605813,0.700527495084839,0.8213863768655969,9.322837829589844,0.5747200176119804,0.4060128331184387,0.0,0.5747200176119804,0.6598567087203264,0.6419219934579098,0.43562074682929297,0.0,0.6419219934579098,0.5890517135461172
16,0.0001,0.5786009021103382,0.8095217892016922,0.7095475413582542,0.691883013631335,0.814472056421289,9.327557802200317,0.5600848980247974,0.3961528576910496,0.0,0.5600848980247974,0.6655469015240669,0.6499731143315634,0.42451737143776636,0.0,0.6499731143315634,0.5588075897910378
17,0.0001,0.5725986957550049,0.8079160054218739,0.7371078657381462,0.6670909759029624,0.79707860680369,9.458685874938965,0.5496482104063034,0.38599307276308537,0.0,0.5496482104063034,0.6791759617626667,0.6333789807377439,0.43033056277217285,0.0,0.6333789807377439,0.597306616378553
18,0.0001,0.5597996823489666,0.8192124843099534,0.7382500099413323,0.6419896066889539,0.7776681859075392,9.84159255027771,0.5409232154488564,0.38042838126420975,0.0,0.5409232154488564,0.6782143414020538,0.6370045416282885,0.42098902211044775,0.0,0.6370045416282885,0.5800988972187042
19,0.0001,0.5535803623497486,0.8161763060375701,0.7910036932338368,0.5778539029189049,0.7295244200605328,9.432590246200562,0.5329826138913631,0.37165462225675583,0.0,0.5329826138913631,0.6852156147360802,0.6419016195066047,0.4266884263717767,0.0,0.6419016195066047,0.5827839627410426
20,0.0001,0.5521757155656815,0.8100624022701796,0.7906728007576682,0.6232191673646877,0.7635119805272185,9.500905275344849,0.5235007274895906,0.366074463352561,0.0,0.5235007274895906,0.6934469863772392,0.6543163295948144,0.40178700468756934,0.0,0.6543163295948144,0.5474388590364745
21,0.0001,0.5453103613108397,0.8145655564279191,0.7615295106714423,0.6415150256779166,0.7792791072807181,9.252816677093506,0.5128508377820253,0.3568891640752554,0.0,0.5128508377820253,0.6908671446144581,0.6466419498125712,0.39971593654516974,0.0,0.6466419498125712,0.5620485210057461
22,0.0001,0.5460939556360245,0.8088231722713184,0.7033254630637892,0.6866889840592797,0.8108613921317973,9.026484489440918,0.5080311950296164,0.35246510058641434,0.0,0.5080311950296164,0.6955911256372929,0.6356180942419803,0.3950367136435075,0.0,0.6356180942419803,0.5717783985715924
23,0.0001,0.532528854906559,0.8170061080107286,0.7507652116544319,0.6124596516905173,0.7591742585414976,8.990970373153687,0.4995561819523573,0.34339344687759876,0.0,0.4995561819523573,0.6922601498663425,0.6215976187677095,0.42667667161334644,0.0,0.6215976187677095,0.6150283235492129
24,0.0001,0.5298984441906214,0.8126353749438938,0.7171920899188879,0.6822852610279656,0.8083205388097436,9.055843591690063,0.49109734781086445,0.34046080708503723,0.0,0.49109734781086445,0.7092750407755375,0.6468939022584395,0.3569187287128333,0.0,0.6468939022584395,0.5531756299914736
25,0.0001,0.5135290808975697,0.8272363149577037,0.7023853894435999,0.6716210832360426,0.79974946564512,10.172091245651245,0.48303210735321045,0.32981114834547043,0.0,0.48303210735321045,0.70541612803936,0.6108379689129916,0.3882909128160188,0.0,0.6108379689129916,0.6049405426690073
26,0.0001,0.5050749350339174,0.8302173118057355,0.6618770920869076,0.7139548391718659,0.8319477389871678,9.507319450378418,0.4728848934173584,0.32585793547332287,0.0,0.4728848934173584,0.7181165218353271,0.5911048524307482,0.38450031569509796,0.0,0.5911048524307482,0.6317007622935555
27,0.0001,0.5059044975787401,0.8235366689102993,0.6540783137986155,0.7131629289210393,0.8299330141595004,9.301061391830444,0.4686177186667919,0.31930308416485786,0.0,0.4686177186667919,0.7169238738715649,0.6051198316342903,0.3682268460591634,0.0,0.6051198316342903,0.6026673804629933
28,0.0001,0.48455109260976315,0.8472798976348617,0.6805797779198849,0.6693193606546394,0.799351852791542,9.848516702651978,0.45596365071833134,0.3099450096487999,0.0,0.45596365071833134,0.7334857434034348,0.6009148160616556,0.36276311043537024,0.0,0.6009148160616556,0.6043216080376597
29,0.0001,0.4719861038029194,0.8509799276203402,0.7388828631603357,0.6136413479972544,0.757170196153505,9.530731201171875,0.44742278195917606,0.3060960602015257,0.0,0.44742278195917606,0.7387960031628609,0.5970664042415041,0.3692975026188475,0.0,0.5970664042415041,0.6132268688895486
30,0.0001,0.4769231453537941,0.8423034289444878,0.7420492208365238,0.6371198199713455,0.7728575706696837,9.7282235622406,0.4456370212137699,0.30142510682344437,0.0,0.4456370212137699,0.7346594259142876,0.6377483895330718,0.32757786096948566,0.0,0.6377483895330718,0.5567460999344335
31,0.0001,0.4859864693135023,0.8247871900592865,0.7075030839804447,0.6578535792692799,0.7898036660802684,10.37138819694519,0.44616014137864113,0.2968185059726238,0.0,0.44616014137864113,0.7234963737428188,0.6074084693735297,0.32641629829551233,0.0,0.6074084693735297,0.5820319047479918
32,0.0001,0.4800531454384327,0.8290617848524608,0.6655488321275422,0.6867020859192687,0.8099261964870624,10.006222009658813,0.43208353966474533,0.28886061161756516,0.0,0.43208353966474533,0.739963173866272,0.6279330596779332,0.3200305032007622,0.0,0.6279330596779332,0.5644834980820165
33,0.0001,0.4642148055136204,0.844339656785297,0.7031457604783954,0.6593828226694638,0.7907217492167605,9.459108352661133,0.4338334184139967,0.28576796501874924,0.0,0.4338334184139967,0.7381088212132454,0.5845450596375898,0.3198765967831467,0.0,0.5845450596375898,0.6066380495374853
34,0.0001,0.45754751935601234,0.8461360891021225,0.6639352531144114,0.6924296170937847,0.8144289733552986,10.223205804824829,0.43090186826884747,0.2804749831557274,0.0,0.43090186826884747,0.7319383174180984,0.5975686998078318,0.3351842219179327,0.0,0.5975686998078318,0.5947139010284886
35,0.0001,0.44443073868751526,0.8511553718367305,0.7065766074440696,0.6566040443206108,0.7876723340942801,12.798585176467896,0.414425415918231,0.27525461092591286,0.0,0.414425415918231,0.7531076706945896,0.5955348123203624,0.3144804329583139,0.0,0.5955348123203624,0.5948158990253102
36,0.0001,0.43924403190612793,0.8567437181704798,0.6730055194912534,0.6891339649816977,0.8127497566506344,11.91646671295166,0.4095113594084978,0.2705447692424059,0.0,0.4095113594084978,0.7504150941967964,0.6385742010492267,0.2900801996390025,0.0,0.6385742010492267,0.5613828138871626
37,0.0001,0.4527418203651905,0.8417372798622956,0.7462894446922071,0.637367500026241,0.7731697251703962,11.950244188308716,0.41974817030131817,0.2672349475324154,0.0,0.41974817030131817,0.7341664582490921,0.6551258979421674,0.2926073200774915,0.0,0.6551258979421674,0.5591413315498468
38,0.0001,0.4539580289274454,0.833400884143647,0.6824184294902917,0.6719219488260788,0.7997151136727537,12.162169218063354,0.4152100123465061,0.26881756633520126,0.0,0.4152100123465061,0.7381443381309509,0.6391577431649873,0.2612237993514899,0.0,0.6391577431649873,0.5669238422856187
39,0.0001,0.4485928397625685,0.8354357983931843,0.6941075361136234,0.6550310689163926,0.7867063846569478,12.273605346679688,0.4090458396822214,0.25668145809322596,0.0,0.4090458396822214,0.7402224950492382,0.5591556610483112,0.3252234422799313,0.0,0.5591556610483112,0.626930010138136
