epoch,lr,loss,iou,val_loss,val_iou,val_dice
0,0.0001,1.0825023939833045,0.256760723772087,1.1167796061589168,0.053471295788075184,0.09784631497346223
1,0.0001,1.0010539647191763,0.3768840613504741,1.036706400834597,0.31800334349408793,0.47025853462084627
2,0.0001,0.9719733539968729,0.4074656017772201,1.0517846492620615,0.31322053464042027,0.4617068718419291
3,0.0001,0.9462296487763524,0.4304647776995302,1.0149418152295626,0.3281244747493015,0.4770863886889181
4,0.0001,0.926805479452014,0.4559885030401551,0.9712154984474182,0.3763772504105046,0.5289918263511078
5,0.0001,0.9095515329390764,0.47514481320411894,0.9569742202758789,0.3690233749991804,0.5258081154186999
6,0.0001,0.8985752472653985,0.47147141664221837,0.9383831491837135,0.38400350893940105,0.539720064973001
7,0.0001,0.882084327749908,0.4987395162830387,1.0103674292564393,0.2999969746374182,0.45086262615158673
8,0.0001,0.8677955651655793,0.5084125837453903,0.9662631172400254,0.3429746738928482,0.49691399726801144
9,0.0001,0.8556486340239644,0.5083305983392615,0.9337509338672344,0.392980766077012,0.5472599728059383
10,0.0001,0.8426100565120578,0.5231241927723265,0.9884920532886798,0.3034464536038915,0.45394433593511135
11,0.0001,0.8335292777046561,0.5263041284924529,0.9262884836930495,0.37284459885953936,0.5267130814302263
12,0.0001,0.8199870688840747,0.5326583257575926,0.8768589166494516,0.4197511922564788,0.5773619815332411
13,0.0001,0.8057001093402505,0.5316595819323525,0.8649162971056424,0.41099910875851164,0.5724709158899226
14,0.0001,0.7979394309222698,0.5384436912794792,0.8901929030051599,0.37512717065009243,0.5342305817768598
15,0.0001,0.7784425998106599,0.563110105880055,0.9004830983968881,0.3494203988911392,0.5053527919539006
16,0.0001,0.7679965337738395,0.5687856867217136,0.8102520511700557,0.4768372166268491,0.6342763504504161
17,0.0001,0.7562093893066049,0.5647748654160011,0.7991290165827825,0.48229265728447307,0.6395318823391363
18,0.0001,0.7522455491125584,0.5385620359426291,0.8635308229006253,0.389995530836848,0.5502341832958793
19,0.0001,0.7388634774833918,0.5637745792150329,0.8100060086983901,0.46390422250832186,0.618080497512736
20,0.0001,0.7236127508804202,0.5734343644842415,0.7876021508987133,0.47208146496038184,0.6297662971822879
21,0.0001,0.7084284843876958,0.5666222495846156,0.7847210581486042,0.4468735733657686,0.6024325674139325
22,0.0001,0.7021205853670835,0.5674141909874907,0.7820811652220212,0.442635878535496,0.5961174349378184
23,0.0001,0.6918913181871176,0.5738434059738383,0.8614817509284386,0.35256690587670514,0.5104497952356
24,0.0001,0.6787444250658154,0.5839426216579878,0.7203934985857744,0.5101173332374631,0.6637006103524483
25,0.0001,0.6735450578853488,0.5776738430084957,0.7936050259149992,0.38811200628120146,0.546544425165597
26,0.0001,0.6533854566514492,0.5937529155793444,0.6751325423900898,0.5434526352841549,0.6941539382267747
27,0.0001,0.6462988541461527,0.5921760078201382,0.7040677263186528,0.5133348591031073,0.662292364462995
28,0.0001,0.631146761123091,0.5984908345283968,0.7139495615775768,0.4790786897211884,0.6358745234328622
29,0.0001,0.6186800980940461,0.5952520018809431,0.6175846650050236,0.5697915508910398,0.7153814496439698
30,0.0001,0.6083303769119084,0.6083533275117599,0.6599158951869377,0.5458576677839619,0.6976439678297887
31,0.0001,0.5977972284890711,0.6032240931730234,0.7192188129975245,0.43707295131969803,0.5913611896751477
32,0.0001,0.5804858175106347,0.6118216243701698,0.6499482966386355,0.528005579628619,0.6717745395157302
33,0.0001,0.5652070273645222,0.6372148065786992,0.6325774183640114,0.5523206403986082,0.6992596964422314
34,0.0001,0.5517126535996795,0.6297931702184495,0.5584374913802513,0.5748306528913243,0.7142366480984698
35,0.0001,0.5461627165786922,0.6259133632103037,0.5882765724108769,0.5390464984506845,0.6940001173765562
36,0.0001,0.5329448911361396,0.6241296102392934,0.6176621565451988,0.5574223228524492,0.701224642485873
37,0.0001,0.5177805717103183,0.6232815899876364,0.5470703539940027,0.5772458096276241,0.7182174068834761
38,0.0001,0.5195287531241775,0.623159757690465,0.5508520282231845,0.5707538370880192,0.7176489016691986
39,0.0001,0.5032784519717097,0.6210422497696435,0.5247341318772389,0.571961451679849,0.7152058689559584
40,0.0001,0.49668161012232304,0.6318994160074077,0.5684156990968264,0.532965750554088,0.6787289697234575
41,0.0001,0.47187844943255186,0.6514587814177253,0.5293517355735485,0.5947848787012509,0.737523766608559
42,0.0001,0.4711690880358219,0.6375970672001443,0.4774494673197086,0.5859078284305269,0.7278264747906508
43,0.0001,0.4528963780030608,0.6522236998999986,0.5326579396541302,0.5508953273561378,0.6991160462877116
44,0.0001,0.4437559386715293,0.658423552424484,0.5130793608151949,0.5475614644307052,0.6961209735160211
