epoch,lr,loss,iou,val_loss,val_iou,val_dice,epoch_sec
0,0.0001,0.8094193078577518,0.43043060523229015,0.8637935663714553,0.02183039744867735,0.042637346673453945,43.891231536865234
1,0.0001,0.7224918231368065,0.586687902142983,0.7988086252501516,0.5289505966210917,0.689865163183379,9.405549049377441
2,0.0001,0.6651283651590347,0.6484131234839632,0.8809925516446432,0.2003467779292617,0.3336339214827226,10.304872512817383
3,0.0001,0.6207031942903996,0.6871213188342363,0.7891797965223138,0.5288890491943832,0.6898204305204998,9.943974733352661
4,0.0001,0.591912254691124,0.6997173926166643,0.7830411520871249,0.5287473647602018,0.6896584952110434,10.335203409194946
5,0.0001,0.581006471067667,0.6977794129848743,0.8375181790554163,0.29068325344390056,0.45024208978343544,10.488293170928955
6,0.0001,0.5522567369043827,0.7266466651289775,0.6699433886643612,0.5760096250126671,0.728718539908064,9.964345693588257
7,0.0001,0.5434725843369961,0.73028632199713,0.6175828377405802,0.6518663023819378,0.787734425359975,9.327611446380615
8,0.0001,0.5367609411478043,0.72539736748536,0.6162262956301371,0.6261157785892739,0.7685168535992303,9.991094589233398
9,0.0001,0.5100476257503033,0.7525510436479281,0.6060555920456395,0.6432512800840314,0.7800642274254815,9.889309406280518
10,0.0001,0.5004497971385717,0.7644741335912151,0.5925918275659735,0.6598993833880419,0.7933285806120879,10.91660189628601
11,0.0001,0.49136749282479286,0.7664806007635333,0.5785748488975294,0.6680260014688529,0.7989160215983445,10.176615238189697
12,0.0001,0.4899895265698433,0.7633913423687617,0.5705362829295072,0.6595221545773728,0.7904144067966153,9.976449012756348
13,0.0001,0.482322933152318,0.7611502168836057,0.6318735787362764,0.6028951182716806,0.7481243117942341,10.319367170333862
14,0.0001,0.46966676227748394,0.7804132266476073,0.5857512083920565,0.6386879413261172,0.7766151364824442,9.4924635887146
15,0.0001,0.4636056572198868,0.7850294662128264,0.5804812817862539,0.6483202113890436,0.784200205446624,10.456508874893188
16,0.0001,0.45073466561734676,0.7934236894178793,0.5305019075220282,0.6834004539559303,0.8094786800040538,12.496933460235596
17,0.0001,0.43187009915709496,0.8175745926188509,0.6033503900874745,0.6093024758851207,0.7555485667788184,9.804946899414062
18,0.0001,0.44009384512901306,0.7955387602653113,0.597610000408057,0.6327163889145931,0.7716223789119641,9.794946670532227
19,0.0001,0.4287264049053192,0.806571901611738,0.5419685443242391,0.6806579018527141,0.8091756835543084,9.899266004562378
20,0.0001,0.4195331409573555,0.8165029774726758,0.5689696561206471,0.657569390935974,0.7909447499018039,10.124809741973877
21,0.0001,0.4182484671473503,0.8144217606942016,0.6093417062903895,0.5998951984041268,0.7488240335325349,10.30789852142334
22,0.0001,0.40843260660767555,0.8225449828688335,0.5463537393194257,0.6731759022387401,0.8020858290545758,10.109940767288208
23,0.0001,0.4088612478226423,0.8109914667643212,0.5249640941619873,0.7003836640462936,0.8220437101947892,10.034401655197144
24,0.0001,0.41136402264237404,0.8102715845489156,0.5007545370044131,0.7050877711766822,0.8247590845296691,9.884546041488647
25,0.0001,0.40591163374483585,0.8145008713272366,0.5299985751961217,0.6844496623509629,0.8092713464947019,10.43778944015503
26,0.0001,0.39891847781836987,0.8151870394659639,0.5017827026771776,0.7043981152116917,0.8237318494290031,9.896316766738892
27,0.0001,0.38687625527381897,0.8268116587278747,0.5792088797598174,0.6366318127495961,0.7738584496714875,10.2495858669281
28,0.0001,0.37990861013531685,0.8308353689880982,0.5643201343940966,0.6462716405024841,0.7813453622292071,10.131844282150269
29,0.0001,0.38194932229816914,0.8288983844113512,0.5105486855362401,0.693259308997437,0.8164528476478887,10.681764125823975
30,0.0001,0.38017889484763145,0.8235858210687144,0.4839398463567098,0.713288166724776,0.8303333656331302,10.284014225006104
31,0.0001,0.377784451469779,0.8213395067979208,0.5085142056147257,0.6884766280309156,0.8113195504907715,9.905044555664062
32,0.0001,0.36061229556798935,0.8447320261193131,0.5363955732547876,0.6754093981894539,0.8024048435205606,10.192435264587402
33,0.0001,0.3512523267418146,0.8499683150309588,0.5449036973895449,0.6662794823119282,0.7965926393284204,10.589509963989258
34,0.0001,0.35356906428933144,0.8409793906486347,0.5026023785273234,0.6906059406162612,0.8141410161425329,10.29312014579773
35,0.0001,0.36336424574255943,0.8309388785176863,0.4816830067923575,0.7127298951021239,0.8299931217327252,9.673033714294434
36,0.0001,0.35050509311258793,0.8376412788317326,0.540149116154873,0.6582343651769332,0.7904280684615181,10.088841199874878
37,0.0001,0.3378940708935261,0.851079185166757,0.49249509789726953,0.70984603000967,0.8281940079422963,10.026859760284424
38,0.0001,0.33892345055937767,0.8478766821067591,0.4395649451198,0.7455188920271291,0.8518331622288368,10.484150886535645
39,0.0001,0.32552108727395535,0.8590624668986141,0.4942564566930135,0.7111809438674026,0.8284589214260063,10.624533891677856
40,0.0001,0.3461020067334175,0.8320482221535107,0.5042098525798682,0.7077096589208584,0.8271510118197966,10.180710792541504
41,0.0001,0.35206397995352745,0.8245573451706498,0.4900761463425376,0.682176235224091,0.8100715852813734,9.839679718017578
42,0.0001,0.3499220684170723,0.8246676705954208,0.5465963374484669,0.6289142319044363,0.7708146098586596,10.312333822250366
43,0.0001,0.32604517228901386,0.8504430529443014,0.5304102464155718,0.6611413499356986,0.793651004041057,9.743224382400513
44,0.0001,0.3159605339169502,0.8579698871115665,0.4876241683959961,0.700335694752536,0.8217254878204393,9.85647988319397
45,0.0001,0.32007526606321335,0.8480848184527671,0.45246396281502466,0.7296461683667149,0.8405445379216254,9.66589069366455
46,0.0001,0.32192468270659447,0.8448939957016628,0.4498102538513415,0.7204853656135823,0.8346290382183702,9.830580234527588
47,0.0001,0.31242676451802254,0.8539086397101949,0.41291625933213666,0.7685383898266008,0.8676529330971458,9.735697984695435
48,0.0001,0.3212987408041954,0.8438266691066896,0.47127435062870837,0.7087331604683472,0.8266521340658345,9.953476428985596
49,0.0001,0.30266716144979,0.8597313541783099,0.45291438608458545,0.7167714440925206,0.8327424503561706,10.076211214065552
50,0.0001,0.30197587236762047,0.8620496241182894,0.4017013564254298,0.7629943427211267,0.8636521367837844,9.667501449584961
51,0.0001,0.2910991571843624,0.866864154165322,0.44230949156212085,0.733415757537981,0.8427156968233458,10.152488470077515
52,0.0001,0.2900247033685446,0.8690704985947606,0.40097884698347613,0.7663070504556199,0.8659390553548012,10.516308546066284
53,0.0001,0.2908885944634676,0.8658433718251769,0.43201385122356994,0.7308076384969895,0.842278970652814,9.8632173538208
54,0.0001,0.2845785226672888,0.871504875607653,0.4448405016552318,0.7275310696456274,0.8390445817445467,9.671912908554077
55,0.0001,0.27846012357622385,0.8743274137974506,0.41538505481951166,0.7565393485914493,0.8605039441001259,9.61136245727539
56,0.0001,0.2934710308909416,0.8530604584277027,0.40364802967418323,0.7530815966040597,0.8576070255873334,10.442445516586304
57,0.0001,0.2791136112064123,0.8694016273145181,0.41010270696697815,0.7434463831224724,0.8507202118438298,11.25825810432434
58,0.0001,0.2727752383798361,0.871396233114636,0.4007005817962415,0.7600863595392485,0.8614192412360459,10.192321062088013
59,0.0001,0.2699165930971503,0.8749472081985497,0.43069748986851086,0.7441187727103754,0.8513238777203612,9.919935703277588
60,0.0001,0.26335408072918653,0.8769660147593865,0.4449508352713151,0.7295841575028675,0.8396205507885784,9.925034761428833
61,0.0001,0.26050843205302954,0.8811929038363031,0.3674975272380944,0.7899512320767018,0.8797974557052741,10.083247900009155
62,0.0001,0.2687358809635043,0.8688769929306919,0.44534427469426935,0.7290850295884443,0.8399960304909346,9.775670051574707
63,0.0001,0.2686785329133272,0.8666722098554662,0.4459541855436383,0.7221480187013071,0.8363540599855854,9.909844875335693
64,0.0001,0.26586678996682167,0.8687626960577386,0.3975951201987989,0.7604246112460822,0.8611679449025298,9.654222249984741
65,0.0001,0.2632180191576481,0.8695956174741245,0.38051663926153473,0.7710673085375375,0.8678972437400044,9.450650453567505
66,0.0001,0.2672820221632719,0.8658889943794514,0.3874525951616692,0.7614939477489246,0.8628027341711947,10.413115501403809
67,0.0001,0.2584975827485323,0.8727662757447224,0.3855214805314035,0.7662789864768788,0.865534190919075,10.20557427406311
68,0.0001,0.25965129770338535,0.8711072382267364,0.4192613128459815,0.7365433638462369,0.8457779216200816,10.041275024414062
69,0.0001,0.24388015363365412,0.8854966432071675,0.3622670282017101,0.7866216302845569,0.8784897615893084,9.825046300888062
70,0.0001,0.2428366420790553,0.8830615750242597,0.357877973354224,0.7829908233502276,0.875802343899596,9.623056411743164
71,0.0001,0.24669134803116322,0.8804801591954055,0.3761071400208907,0.7693775878005001,0.8665821539947788,9.226375579833984
72,0.0001,0.2454203525558114,0.8774335987037206,0.3726194952473496,0.7669110942648285,0.866284160162393,9.784201860427856
73,0.0001,0.2449598191305995,0.875417640771383,0.3801661856246717,0.7621187804120613,0.862929551550801,9.628804683685303
74,0.0001,0.24948606174439192,0.8748127782530223,0.37122383442792023,0.7694389389208979,0.8681823559693864,10.164438962936401
75,0.0001,0.23302559833973646,0.886353804197039,0.39061409054380475,0.7494176368359867,0.8549975161390072,9.528544664382935
76,0.0001,0.22901039756834507,0.8873293133088699,0.3487273653348287,0.7884858336252547,0.879986516440547,9.521456718444824
77,0.0001,0.22841310128569603,0.8878906229798929,0.34284581198836817,0.7951863378238374,0.8840015356692112,9.792145252227783
78,0.0001,0.22161360550671816,0.8925534189981057,0.33660509730830335,0.8004811308257628,0.8875597755276597,10.064959526062012
79,0.0001,0.22847626637667418,0.8861063296454093,0.3424048459891117,0.791136011423594,0.8815549766476263,10.971560955047607
80,0.0001,0.2195900920778513,0.8946442513165418,0.34462994517702045,0.7867186660019576,0.8793289879744955,9.385272741317749
81,0.0001,0.22365973517298698,0.8902499748767324,0.37656881231250183,0.7609941973795391,0.8626269462450857,10.265697956085205
82,0.0001,0.21112988982349634,0.8996130622783298,0.33141845645326556,0.8027594623705028,0.889005504000757,10.210092067718506
83,0.0001,0.21749103628098965,0.8925287306322085,0.33717704902995715,0.7961911272744513,0.8846296144753015,10.162407159805298
84,0.0001,0.22803408280014992,0.8819573219774651,0.3628174463907878,0.7737553768721541,0.8703801236679496,10.410272598266602
85,0.0001,0.21371695585548878,0.8921424560180071,0.3342798550923665,0.794877019851164,0.8835399561517112,9.550586462020874
86,0.0001,0.22039726469665766,0.8875662193645432,0.428755496487473,0.7267488847971878,0.8391289627163159,10.24540901184082
87,0.0001,0.22137844655662775,0.8834713743779613,0.3589238434126883,0.7736193384875611,0.8707990903981194,10.231740474700928
88,0.0001,0.25823368690907955,0.852220433222304,0.35915258617112134,0.7745105035388196,0.8720379260162991,10.14242935180664
89,0.0001,0.21779256593436003,0.8848883532550398,0.35050221464850684,0.7841481535323535,0.8772304495293936,9.725278615951538
90,0.0001,0.22276635840535164,0.8789936504791495,0.30927667473301745,0.8117205434165488,0.8945393075900043,9.608757734298706
91,0.0001,0.2084071161225438,0.8929262488256604,0.3550911780559655,0.7794830303312111,0.873855666758644,9.850126266479492
92,0.0001,0.21103183180093765,0.8910387736499858,0.3610416759144176,0.7737034659386101,0.8706113780710089,10.435455799102783
93,0.0001,0.21152771078050137,0.8872802535456862,0.35678745038581616,0.7743510777480513,0.870118366684467,10.580586433410645
94,0.0001,0.21574101131409407,0.88434583429987,0.32380560311404144,0.7957470089462597,0.8841545867024212,10.816220045089722
95,0.0001,0.21191691048443317,0.8866033909554861,0.3375365138053894,0.7821533546061001,0.8760684154741649,11.323978424072266
96,0.0001,0.20196717139333487,0.8948900403253895,0.34674331274899567,0.7851674856762605,0.8774899099623427,13.747343063354492
97,0.0001,0.1964794909581542,0.8981738674924528,0.3419054566007672,0.7883338130035273,0.8792386348256761,21.169068813323975
98,0.0001,0.19971292652189732,0.8951474863143093,0.3378843538688891,0.7858800718138829,0.8774054356226152,31.215712785720825
99,0.0001,0.19689058791846037,0.8962569460712333,0.29966995752219,0.8171129651155102,0.8978013955284859,31.68786334991455
100,0.0001,0.19568698294460773,0.8978967563170579,0.292225460211436,0.8234217525762951,0.9016167443383373,12.5227689743042
101,0.0001,0.2009516479447484,0.8931262495476284,0.3083758336124998,0.8093977180849508,0.8929249630953807,12.248907804489136
102,0.0001,0.19826769921928644,0.8931651032109675,0.3140253551078565,0.802462601288315,0.8883702201928256,12.011687278747559
103,0.0001,0.19760517217218876,0.892755818419154,0.2902165958375642,0.8216091643543633,0.9004251558581885,12.358015775680542
104,0.0001,0.19312527030706406,0.897060756967956,0.2969243201342496,0.8162899011009248,0.8970831658168137,11.900832653045654
105,0.0001,0.18895018007606268,0.90145039510603,0.2900521213358099,0.823432834856113,0.901496655873793,11.879796743392944
