epoch,lr,loss,iou,val_loss,val_iou,val_dice,epoch_sec,train_ctrl,train_foc,train_ma_mean,train_rho_std,train_ctrl_bce,train_cell_iou,val_ctrl,val_foc,val_ma_mean,val_rho_std,val_ctrl_bce,val_cell_iou,norm_route1_wc,norm_route1_wa,norm_route1_beta,norm_route2_wc,norm_route2_wa,norm_route2_beta,norm_route3_wc,norm_route3_wa,norm_route3_beta,norm_route4_wc,norm_route4_wa,norm_route4_beta
0,0.0001,1.539699625968933,0.2462067441608708,1.5054456288697289,2.272217750585567e-10,4.544435499874103e-10,86.88057661056519,0.6715640852848689,0.5635599424441655,0.4948605313897133,0.003032295408290035,0.6715640852848689,0.003748941611653815,0.6392452501859821,0.485511342033011,0.4808652684336803,0.0029422944778057397,0.6392452501859821,0.0,0.0726136788725853,0.06115754693746567,0.028610102832317352,0.08386880904436111,0.07763499766588211,0.02371288649737835,0.13340237736701965,0.13446269929409027,0.01945129781961441,0.1336287558078766,0.14352022111415863,0.017377618700265884
1,0.0001,1.39154771566391,0.3875746825508216,1.3846931613859583,0.2755366362093941,0.4239309578976343,24.77496910095215,0.6181886106729507,0.4765560984611511,0.472602479159832,0.009996759449131786,0.6181886106729507,0.1347326025677224,0.5654543442804305,0.4617783046159588,0.43983538277813644,0.008883305733687565,0.5654543442804305,0.049209633132168015,0.12816868722438812,0.10071075707674026,0.055254977196455,0.13060787320137024,0.1213381215929985,0.038603056222200394,0.21424317359924316,0.2193252593278885,0.0349697507917881,0.19134792685508728,0.19702959060668945,0.03006310574710369
2,0.0001,1.3253402332464854,0.4305161624934165,1.3545226229995977,0.30368344150512366,0.45975753145315695,24.659950017929077,0.5649423052867254,0.44022372663021087,0.4405630464355151,0.011500109111269315,0.5649423052867254,0.221027414376537,0.5052466920164765,0.44814964298342097,0.3982128593765321,0.010613744498276319,0.5052466920164765,0.06045331808997959,0.17027495801448822,0.136545792222023,0.07652287185192108,0.16507335007190704,0.1544124335050583,0.05187523365020752,0.28360462188720703,0.305733323097229,0.05388457328081131,0.23617902398109436,0.2425958514213562,0.04266900569200516
3,0.0001,1.2709946910540262,0.4743107953342845,1.3075948328268332,0.3872529345142631,0.5520155810183236,23.649954795837402,0.5154101500908533,0.41457657267649967,0.4085595096151034,0.012533462652936578,0.5154101500908533,0.2569617332269748,0.47121943997555094,0.43787740781658985,0.3748387987496423,0.012292841082957924,0.47121943997555094,0.0765374407905047,0.2083349972963333,0.1687534600496292,0.09623578935861588,0.1917743980884552,0.1839928925037384,0.062116023153066635,0.33138877153396606,0.39182788133621216,0.0722615122795105,0.26527222990989685,0.29351457953453064,0.05147068575024605
4,0.0001,1.2249241471290588,0.51276313361079,1.2922887235391336,0.32116769124668426,0.47469637119323077,23.906115770339966,0.4697416976094246,0.39672373135884603,0.378996542096138,0.013167837665726741,0.4697416976094246,0.28497820571064947,0.436000718933637,0.4138498877892729,0.34548618265839875,0.011873790688934873,0.436000718933637,0.0442223713473707,0.24196407198905945,0.19708062708377838,0.11325167864561081,0.21350200474262238,0.21352700889110565,0.07281462848186493,0.36230432987213135,0.5032198429107666,0.08973824232816696,0.28760942816734314,0.3621286451816559,0.059360072016716
5,0.0001,1.199432796239853,0.5213485970997973,1.2627114096625907,0.34018714526994437,0.49560193689317533,24.07618999481201,0.4284654438495636,0.3918093542257945,0.3495492031176885,0.013686443073675036,0.4284654438495636,0.27495957588156067,0.3969754596225551,0.4025289831591434,0.30727596556554077,0.011524067214522206,0.3969754596225551,0.03159596673289283,0.27087366580963135,0.22472301125526428,0.12819471955299377,0.23382756114006042,0.2406064122915268,0.08374635130167007,0.3945196866989136,0.5721937417984009,0.10612992942333221,0.3121313452720642,0.3993821144104004,0.06754966825246811
6,0.0001,1.1575949947039286,0.5647726527680318,1.2277572174541285,0.40529500782944,0.5720436722085562,23.680519819259644,0.3911067153016726,0.37234691927830377,0.320982326567173,0.013492357870563864,0.3911067153016726,0.2880581520497799,0.3729886779042541,0.4234140559298093,0.2866670372056179,0.012620372804584072,0.3729886779042541,0.05091720691225568,0.3011411726474762,0.2565617263317108,0.1426910012960434,0.25613099336624146,0.27371346950531006,0.09248212724924088,0.42400333285331726,0.6642838716506958,0.12527909874916077,0.3306847810745239,0.4703669846057892,0.07600166648626328
7,0.0001,1.1367609600226085,0.5661399245187123,1.1978865725095156,0.41856586115658845,0.5840189058701729,23.718392610549927,0.3604837651054064,0.36940985172986984,0.2957701360185941,0.016012654127553105,0.3604837651054064,0.27830773865183195,0.3456083252781727,0.4117116219684726,0.25658463308068574,0.015398533740004555,0.3456083252781727,0.06200063033182113,0.3317215144634247,0.2835257351398468,0.15712106227874756,0.2750150263309479,0.297342985868454,0.1021144911646843,0.44910895824432373,0.7201122045516968,0.13940413296222687,0.34740713238716125,0.5421438813209534,0.08089907467365265
8,0.0001,1.1089299311240515,0.5891271650587875,1.1876515325952748,0.3835498978172257,0.5494178685641099,24.236743450164795,0.33236350268125536,0.3607845251758893,0.2729976500074069,0.019957713425780337,0.33236350268125536,0.28201652886345985,0.318411260843277,0.37177206258304785,0.22294345546941288,0.019949469562680996,0.318411260843277,0.023018789889871098,0.36005961894989014,0.3076927959918976,0.1705256849527359,0.2944706380367279,0.3157981038093567,0.11353206634521484,0.47552409768104553,0.7466015219688416,0.15477386116981506,0.35754328966140747,0.5703168511390686,0.0863732397556305
9,0.0001,1.0885088096062343,0.5965840071140142,1.1479303543684913,0.45991312643618815,0.6235925073049536,23.380450010299683,0.3088584169745445,0.3541237478454908,0.2526590603093306,0.02365308618173003,0.3088584169745445,0.28567065969109534,0.3047911436831365,0.35899315750012634,0.2173573037639993,0.02020454965531826,0.3047911436831365,0.03563573797706698,0.3889510929584503,0.33539512753486633,0.1836589127779007,0.3128705322742462,0.34672775864601135,0.12434220314025879,0.4994105100631714,0.787189245223999,0.1710735559463501,0.3684220612049103,0.6122562885284424,0.09462063759565353
