epoch,lr,loss,iou,val_loss,val_iou,val_dice,epoch_sec,train_ctrl,train_foc,train_ma_mean,train_rho_std,train_ctrl_bce,train_cell_iou,val_ctrl,val_foc,val_ma_mean,val_rho_std,val_ctrl_bce,val_cell_iou,norm_route1_wc,norm_route1_wa,norm_route1_beta,norm_route2_wc,norm_route2_wa,norm_route2_beta,norm_route3_wc,norm_route3_wa,norm_route3_beta,norm_route4_wc,norm_route4_wa,norm_route4_beta
0,0.0001,1.5410523811976116,0.24479971061986813,1.5078747037981377,2.0158713097436095e-10,4.0317426185793127e-10,83.8021969795227,0.671516814827919,0.5646090144912402,0.4943646510442098,0.0026037541205975383,0.671516814827919,0.001566449519790088,0.6390512126391051,0.49777838832042254,0.4753808056721922,0.00213333247153119,0.6390512126391051,0.0,0.0729413628578186,0.05879009887576103,0.030231472104787827,0.08209367841482162,0.08034835755825043,0.025243468582630157,0.13481365144252777,0.13726189732551575,0.01938513293862343,0.13531219959259033,0.1385914832353592,0.018943412229418755
1,0.0001,1.3978440662225087,0.3805767568366379,1.374706045525973,0.3045518329346889,0.4583538270951117,27.813342094421387,0.6192321638266246,0.4794118081529935,0.47254669417937595,0.007193240717363854,0.6192321638266246,0.08203064889336625,0.5761925587888623,0.4497540109470242,0.4455000274494046,0.007554169408366328,0.5761925587888623,0.012578758777531444,0.125370591878891,0.10137460380792618,0.05698181316256523,0.12914639711380005,0.13157041370868683,0.042461227625608444,0.21366523206233978,0.24061907827854156,0.035438451915979385,0.1920047402381897,0.19074928760528564,0.02940530888736248
2,0.0001,1.3209945480028789,0.45888475015179275,1.355050341027682,0.3050650251897734,0.4586613951320997,23.0363347530365,0.56526218354702,0.44057860871156057,0.4409239615003268,0.008229297081318995,0.56526218354702,0.20886040789385638,0.5170615891941258,0.4529459945491103,0.4014354973542886,0.0073855015464493485,0.5170615891941258,0.019302644301205873,0.16687344014644623,0.13317696750164032,0.07769255340099335,0.16116654872894287,0.16029183566570282,0.05423923581838608,0.2750397324562073,0.3288334608078003,0.05227537825703621,0.22938114404678345,0.23170581459999084,0.038924768567085266
3,0.0001,1.272411972284317,0.48590290702940897,1.3142183667323628,0.2848230464588191,0.43521451950859835,21.61628556251526,0.5148419762651125,0.41686516503492993,0.4086729014913241,0.009236098453402519,0.5148419762651125,0.25621100117762885,0.47423565436582094,0.4296478458115312,0.3687142788386736,0.008002984810803757,0.47423565436582094,0.03462607420400762,0.2026691436767578,0.16480156779289246,0.09651020914316177,0.18854424357414246,0.19507968425750732,0.06551960110664368,0.3171018362045288,0.41312041878700256,0.07016866654157639,0.2563156187534332,0.27798205614089966,0.04800405725836754
4,0.0001,1.2294406990210216,0.5189232482287338,1.2765997765494175,0.3439712105325873,0.5035307164009408,20.723992109298706,0.4681115617354711,0.3987479577461878,0.377789365251859,0.01021892650363346,0.4681115617354711,0.2797897085547447,0.44164259365347563,0.4113368367562529,0.343227887251338,0.00877292806923878,0.44164259365347563,0.04160249476000422,0.23566709458827972,0.19380870461463928,0.1151544600725174,0.21670466661453247,0.21801722049713135,0.07513304054737091,0.3421093821525574,0.4693826138973236,0.08597040176391602,0.27561983466148376,0.32230082154273987,0.05506739765405655
5,0.0001,1.190760060151418,0.5463427096891188,1.2126195606638173,0.44465855510286056,0.6087351698355139,20.617995977401733,0.42721902976433435,0.38312572439511616,0.3487768694758415,0.011224050881961982,0.42721902976433435,0.28552131665249664,0.3943248650089639,0.39155724449235885,0.2995734058442663,0.009806812298102457,0.3943248650089639,0.03925730653687334,0.26868951320648193,0.2207765281200409,0.13125786185264587,0.2405308336019516,0.24015210568904877,0.08526025712490082,0.3673244118690491,0.540839433670044,0.10201293975114822,0.2916198670864105,0.36263343691825867,0.06103434041142464
6,0.0001,1.159037361542384,0.5670676015793232,1.252901782754992,0.3595533031064492,0.5179018309050715,20.64362859725952,0.39150904268026354,0.3732132504383723,0.32162237564722695,0.012850108525405328,0.39150904268026354,0.2802158873528242,0.3852241185844922,0.41293923532376525,0.28800649818826896,0.010820345586684883,0.3852241185844922,0.025118669147649018,0.30114662647247314,0.24918042123317719,0.14683127403259277,0.2615768611431122,0.26633021235466003,0.09495880454778671,0.3935493230819702,0.6097349524497986,0.11241420358419418,0.30753955245018005,0.4149700105190277,0.06762796640396118
7,0.0001,1.1359439770380655,0.5658483563662379,1.185292652395905,0.4879304404268294,0.6516220077700906,20.529802799224854,0.3587216193477313,0.3681379069884618,0.2959744627277056,0.015010372688993811,0.3587216193477313,0.27409853860735894,0.35446551881852695,0.4054297184357878,0.2679080411058957,0.013291321908597086,0.35446551881852695,0.07307913803235917,0.3320581912994385,0.2812129557132721,0.1620054543018341,0.2853897213935852,0.29625603556632996,0.10486847162246704,0.4118137061595917,0.661413848400116,0.12427064776420593,0.32317885756492615,0.4570949971675873,0.07483281195163727
8,0.0001,1.1065525611241658,0.5863141117303657,1.2196964826740202,0.3490966605860758,0.5056103527463255,20.495311498641968,0.3314254661401113,0.3577559933066368,0.2742492720484734,0.01831638564666112,0.3314254661401113,0.27941455667217574,0.34152603247126595,0.3905376660042122,0.23814075598951245,0.016018055623672048,0.34152603247126595,0.02655940183026136,0.36208751797676086,0.3059554100036621,0.17639409005641937,0.30956393480300903,0.3195877969264984,0.11362036317586899,0.42883387207984924,0.7269096970558167,0.13524466753005981,0.3364703953266144,0.5094854235649109,0.08315321803092957
9,0.0001,1.083481169740359,0.6075699399024184,1.1590183660632274,0.4530373890327891,0.6129605817617332,19.583920001983643,0.3069010034203529,0.34968120604753494,0.25371639132499696,0.02203695566082994,0.3069010034203529,0.29295594468712804,0.3382545440900521,0.3712787579317562,0.2416051088786516,0.01876112992768405,0.3382545440900521,0.04515605742020196,0.3910430669784546,0.33075132966041565,0.1901886761188507,0.32524922490119934,0.34081360697746277,0.12280914932489395,0.45201870799064636,0.7662797570228577,0.14739049971103668,0.3446817100048065,0.5590953230857849,0.08957009762525558
