epoch,lr,loss,iou,val_loss,val_iou,val_dice,epoch_sec,train_ctrl,train_ma_mean,train_rho_std,train_ctrl_bce,train_cell_iou,val_ctrl,val_ma_mean,val_rho_std,val_ctrl_bce,val_cell_iou,norm_route1_wc,norm_route1_wa,norm_route1_beta,norm_route2_wc,norm_route2_wa,norm_route2_beta,norm_route3_wc,norm_route3_wa,norm_route3_beta,norm_route4_wc,norm_route4_wa,norm_route4_beta
0,0.0001,0.9831743910908699,0.4283192129362181,1.0495926936467488,3.866296202796424e-05,7.732255577023652e-05,72.91857552528381,0.6930875405669212,0.497166870161891,0.0008283026973003871,0.6930875405669212,0.07215451056799793,0.6931762460506323,0.4985820506558274,8.486953954685085e-05,0.6931762460506323,0.0,0.02574290707707405,0.025324342772364616,0.009951140731573105,0.03925348445773125,0.039614856243133545,0.009495383128523827,0.07522835582494736,0.07474305480718613,0.01157165877521038,0.0784747377038002,0.07896208018064499,0.011456124484539032
1,0.0001,0.8979079350829124,0.5859455648042073,1.0588799100933652,0.12372951591432568,0.21996450469870713,9.787687540054321,0.6923046186566353,0.4907518569380045,0.0029737775621470064,0.6923046186566353,0.41576028522104025,0.6931438807285193,0.4954212687232278,0.0007176768849603832,0.6931438807285193,0.4865507754412564,0.050519976764917374,0.0487375482916832,0.02127963677048683,0.06634896248579025,0.06704463064670563,0.02007696032524109,0.11300184577703476,0.11213365197181702,0.01721658743917942,0.1052471399307251,0.10595429688692093,0.016557684168219566
2,0.0001,0.8439776971936226,0.6389576417073634,0.9625091263742158,0.5288890491943832,0.6898204305204998,10.300428867340088,0.6905157044529915,0.48289159312844276,0.005256540782283992,0.6905157044529915,0.5043217074126005,0.6928737524783972,0.4893876819899588,0.0017672294052317739,0.6928737524783972,0.5262488162878788,0.07299238443374634,0.07014933973550797,0.0323188342154026,0.0890282616019249,0.08986178785562515,0.03036622889339924,0.14322993159294128,0.1432294100522995,0.021677741780877113,0.12622028589248657,0.12711551785469055,0.021119963377714157
3,0.0001,0.7835481911897659,0.6933122515096423,0.966566284497579,0.5288890491943832,0.6898204305204998,10.178691625595093,0.6868642643094063,0.4747343473136425,0.007377709582215175,0.6868642643094063,0.5463724881410599,0.692733266136863,0.4843895001844926,0.0024278438015078955,0.692733266136863,0.5262488162878788,0.094023197889328,0.09008020162582397,0.042868226766586304,0.10824231058359146,0.10870460420846939,0.04048566520214081,0.16494132578372955,0.1637456864118576,0.02506805583834648,0.14225713908672333,0.14169545471668243,0.024446208029985428
4,0.0001,0.7670967355370522,0.6860255483345307,0.9769740249171401,0.5318000538797784,0.6922397547637278,9.784019947052002,0.6820259429514408,0.4662395268678665,0.009490739495959133,0.6820259429514408,0.553136358037591,0.6924174536358226,0.4803607924418016,0.0037706205974135437,0.6924174536358226,0.526166019114581,0.11228036135435104,0.1074017882347107,0.051784660667181015,0.12604795396327972,0.125721275806427,0.049768999218940735,0.18443867564201355,0.18296587467193604,0.028706809505820274,0.15839876234531403,0.15665218234062195,0.028669772669672966
5,0.0001,0.7384925223886967,0.7114004034161762,0.9278133926969586,0.521099663366091,0.6823202940231177,10.963968992233276,0.6742287948727608,0.4576369281858206,0.011182661750353873,0.6742287948727608,0.5873655751347542,0.6901692874503859,0.4742973212039832,0.004209315869957209,0.6901692874503859,0.5269536637898647,0.12808524072170258,0.12213469296693802,0.05938364192843437,0.14151863753795624,0.14077870547771454,0.05790494382381439,0.2006932646036148,0.19914211332798004,0.03161359950900078,0.17199678719043732,0.16851864755153656,0.03240134194493294
6,0.0001,0.7120827920734882,0.7345194124500253,0.869971311453617,0.559689572865009,0.7138053366274494,10.512183904647827,0.665659349411726,0.4488251321017742,0.013850008370354772,0.665659349411726,0.6031589638441801,0.684188678409114,0.4626085667899161,0.006303800382848942,0.684188678409114,0.5340434195417346,0.14323636889457703,0.1359487622976303,0.06669338047504425,0.15673846006393433,0.1551729291677475,0.06602072715759277,0.21444036066532135,0.2134184092283249,0.034896790981292725,0.18501627445220947,0.17849767208099365,0.03587224707007408
7,0.0001,0.6994834318757057,0.7355291519005611,0.8167561834508722,0.5960655490414313,0.7436860360674629,13.850017786026001,0.6560316942632198,0.4390324093401432,0.015746564196888357,0.6560316942632198,0.6037237346172333,0.677482337662668,0.45379434390501544,0.007933318191631273,0.677482337662668,0.5494496551426974,0.15752486884593964,0.14854583144187927,0.07346867769956589,0.17060068249702454,0.16884349286556244,0.07371397316455841,0.22742629051208496,0.2262529730796814,0.03823556751012802,0.19720906019210815,0.18867775797843933,0.039411675184965134
8,0.0001,0.6807133853435516,0.7457218173042717,0.7984811248201312,0.635190200078657,0.7739287708738523,11.35896110534668,0.6465783827006817,0.4305219054222107,0.016889858641661704,0.6465783827006817,0.6273880079388618,0.6701112190882365,0.4475798751368667,0.009238891218873587,0.6701112190882365,0.5727651399193388,0.17089690268039703,0.15986368060112,0.07972535490989685,0.18436922132968903,0.18157829344272614,0.08057858794927597,0.24067702889442444,0.23915477097034454,0.04204297065734863,0.21416205167770386,0.20069950819015503,0.04313123971223831
9,0.0001,0.6677631959319115,0.7566663880768542,0.7904393781315197,0.6352497189930474,0.7755782485834674,13.118044137954712,0.6342768371105194,0.4197090268135071,0.018736741272732615,0.6342768371105194,0.6369790360331535,0.6692651618610729,0.43912070628368494,0.009841855530711737,0.6692651618610729,0.5546965102354685,0.18373800814151764,0.17024852335453033,0.08564044535160065,0.1987340897321701,0.1937425583600998,0.0878051370382309,0.25308671593666077,0.25218912959098816,0.04560071602463722,0.22653259336948395,0.20915870368480682,0.04748842492699623
